InteractorA,InteractorB,Label
Q13561,Q99436,1
Q15831,P58340,1
Q14258,Q9BRK4,0
Q92734,Q86UP0,0
Q9SVJ9,Q39255,1
P46937,P22061,1
P11169,Q9UH03,0
Q13243,Q13564,1
Q00341,Q9Y6K9,1
Q9BVC4,Q15025,0
Q13325,P30533,0
Q8IV63,Q7Z434,0
Q39172,Q1EC66,1
P04629,Q9BZB8,0
Q8RX28,P48347,1
Q8WXK3,Q96CQ1,0
Q93VI3,Q08770,1
Q9FRS6,Q8VYT3,1
P10515,P42704,1
O00560,Q969V4,1
Q9LT08,Q7DLR9,1
Q8TES7,Q8TD10,1
P34066,O04019,1
Q92800,Q7Z699,0
Q96T52,P45954,1
P57078,P53041,1
Q9NX47,Q86Y07,1
P56945,P06576,0
P52815,P04629,0
Q42403,Q9C5T4,1
Q6TBX7,Q9M9V7,1
Q8GXG1,P92958,1
P11169,P17097,0
Q96DX7,P55072,0
Q96PU4,Q96NL6,0
P35240,Q15427,1
Q53GL0,P06576,0
Q9LUV4,Q9SAB3,1
Q949Y0,Q1EC66,1
O80501,Q0WVL7,1
Q9BXX3,Q96R06,1
Q12959,P62304,0
Q0P5N6,O14776,0
Q9P2J2,Q9UK76,0
O94874,Q9BQ67,1
F4IPE3,Q8L925,1
Q93034,P45973,0
Q06850,Q9SIA4,1
P32929,P08708,0
A6NEM1,Q9NVF7,1
P51418,Q06611,1
Q14258,Q7Z419,0
O15360,O00541,0
P55327,Q9Y6K9,0
P18124,Q16635,0
Q53RE8,P51149,0
Q8NFP7,Q8N2I9,0
C0LGW2,C0LGD6,1
Q9Y5M8,Q8NFJ9,0
Q8W0Y8,Q9SLF3,1
Q9S7W5,Q9SAK5,1
Q86YJ6,P51884,0
Q9GZT6,P08559,1
Q8LD46,P16181,1
P11142,Q69YU3,0
Q9SA78,Q9CAA0,1
Q946Y7,Q8LEK2,1
Q9H0E2,P52732,1
Q2HIM5,Q3ECP7,1
Q96CN9,O15213,0
O81760,Q9LFA2,1
Q940A7,O04173,1
Q14684,Q5JTH9,1
Q8LEM8,O23140,1
Q96JB5,Q86W42,0
P49137,P23508,0
Q07666,Q92973,1
Q9NS91,Q9P258,1
Q84WZ8,Q94F62,1
O60641,Q96DX7,1
P42695,P01033,0
P49354,Q9NRI5,0
Q969X5,Q9UNH7,1
P06753,Q13620,0
Q94CG0,Q8LAS7,1
Q12846,Q15464,1
Q9SUA3,Q17TI5,1
Q8TEW0,P40855,0
O14818,Q16186,1
Q9NP62,P36776,1
Q9LZ20,O04508,1
P02545,Q9NW38,0
Q9BWF3,Q13322,0
Q9SEI3,O81148,1
Q08116,Q15714,1
P33992,P57740,0
Q9HCN4,Q9NVU0,1
Q9HCE7,Q9P2R3,1
O75582,P07948,0
P13693,Q92769,1
P61956,Q12905,0
P51149,Q5W5X9,0
O75821,O95235,0
O75400,Q14498,1
Q39025,Q9FLX8,1
Q15118,Q96PM5,0
Q8TE68,Q9BXC9,0
P49590,Q13510,0
Q71F23,Q16671,0
Q9SD38,Q93Z00,1
P09467,Q13352,0
P08621,P62314,1
P11597,Q99685,0
Q9SEL5,Q944A9,1
Q8TD31,Q02410,0
Q13432,Q3B820,0
Q9FHW7,Q9LW29,1
O60341,Q14258,1
P21964,Q8TF21,0
O60573,Q9P2M7,1
Q8N465,O95758,1
Q4ZIN3,Q86YL7,0
Q9LT89,Q94CK9,1
O15360,Q8NBJ4,0
Q9ZP54,Q9SKB3,1
O95568,P13385,0
P23508,Q9NS87,1
Q9P0J0,Q14139,0
Q9BVQ7,Q9BU02,1
Q9SJT9,P43286,1
Q9MAH8,Q9LQF0,1
O95503,P25205,0
Q12962,Q9UMS0,0
Q96BT3,Q8IUX8,0
Q9Y5U2,Q96T51,0
Q9NX46,Q9NQZ2,0
Q99653,P22087,0
Q9MAT0,O81147,1
Q99653,Q8NDZ2,0
A1L157,P33993,0
Q00987,Q9Y230,1
Q9ZRW8,Q9FRR1,1
P52788,Q06830,0
P02545,O43660,0
Q9UDY2,Q13625,1
Q08379,Q9NQG5,0
Q14498,Q9BXY8,0
Q5HZ36,B9DI20,1
Q9H293,Q9UK22,1
Q96GF1,Q12797,1
Q8TAQ2,P05154,0
Q9GZT3,Q9BQ52,1
Q8TB36,O00628,0
Q969X0,Q6IQ22,1
Q7L5D6,Q8WXF1,0
P35080,A0JLT2,0
P60520,Q15758,0
Q14254,Q14764,1
Q9Y2R5,O95639,1
Q14142,Q9BZW7,1
Q96PM5,P50402,1
P56470,P31942,0
O60512,Q9NVP1,0
P57752,Q9LXV3,1
Q9HA65,Q9C099,0
P92953,O22781,1
Q7Z2W7,Q9BVC4,0
Q9NSC5,Q9P2A4,1
Q8LPF1,Q9LJN8,1
Q13418,P51617,1
P46459,Q9H788,0
Q14203,Q9C0F1,1
O15016,Q8N684,0
Q9FVU9,O50055,1
Q15047,P11021,0
P26368,Q15056,1
Q2TAC2,Q8WXA9,0
Q8NFZ5,Q9BTA9,1
Q8VY64,Q9FX77,1
Q8IZ40,Q8TBE7,0
O64740,Q8LAZ7,1
O14757,Q12959,0
P63272,Q969K3,1
Q12986,P08621,1
O22229,Q1EC66,1
Q9HCE1,P49137,1
Q7Z695,P52429,1
Q9XJ36,Q8GW78,1
Q9SW07,Q8RY74,1
Q8L9S0,Q9ZUH3,1
Q9SIV2,O24616,1
Q9FYE2,Q17TI5,1
Q9NSE4,Q2TAC2,0
Q9H425,Q9Y5S9,0
P38606,Q99623,1
Q08945,Q9NP72,0
P20290,Q96MY7,0
Q38832,P93024,1
Q9BQD3,Q9BWF3,0
P07196,P09669,0
P09496,P49821,0
Q16659,P35568,0
Q08379,O14544,0
P61221,P27816,1
Q13275,P61952,0
Q8N357,Q16658,0
Q9M643,Q9LYU7,1
C0LGG3,Q9LRT1,1
Q99661,Q9Y3A2,1
Q96P48,Q13547,0
Q944J0,Q9ZP16,1
P35998,Q8TAF3,1
O43739,P46459,0
Q8L9S0,O04567,1
P68871,Q96FE5,0
O80929,O23515,1
Q8VYK7,Q1EC66,1
P21240,Q93YQ1,1
P17094,Q8VZB9,1
O76003,P61970,1
O14733,Q9HDC9,0
Q9LJM4,C0LGN2,1
Q39026,Q9C4Z6,1
Q9M274,Q9C5X0,1
Q9HCE1,Q8WVM8,1
Q8S8I4,Q42371,1
Q9UHY7,Q9BTT6,0
P61956,P26447,0
P27816,P52756,0
Q9BVS4,Q03113,1
P30187,Q84WW1,1
Q8TBC4,Q12972,1
P62310,Q9BQA1,1
P13747,Q6NUQ1,0
Q6ZNL6,O43463,1
O76071,Q96M11,0
Q6IAN1,P50591,0
C0LGQ9,Q9M8T0,1
P02766,Q8NAV1,0
P34897,Q9UJX2,0
P55735,Q5XPI4,0
Q9Y4C8,Q14498,0
Q9P244,Q16143,0
Q96JH8,Q9UNK0,0
Q92769,Q14155,1
Q39237,P28148,1
Q92575,Q9HBG6,0
Q8NFZ5,P55209,1
Q01629,Q9H5Q2,0
Q9C0H5,Q9UI36,0
Q9UHY7,O43657,0
Q96PY5,O14949,0
P46934,Q99683,1
O60637,O00560,1
Q76MU0,Q9H5F2,0
P93024,P93830,1
Q9Y233,O95741,0
Q6UXB0,Q99685,0
Q92667,Q13480,0
P06400,P49716,1
Q9H8U3,Q9BWC9,0
O60306,P49257,0
P40926,O43678,1
Q12929,Q13064,0
Q93VM9,Q9M8T6,1
P25787,Q92918,0
Q96EP0,Q99959,1
P42742,Q7DLS1,1
Q9M392,Q9ZRE2,1
Q494U1,O95661,0
P18124,O43292,0
Q9H4P4,Q5T7N2,0
Q9NP59,Q9NQW7,0
Q9NRS6,P23246,0
O43768,Q9Y657,0
Q93ZT6,Q9SK33,1
Q570C0,Q9LSX9,1
Q9SZG0,Q8RX29,1
Q1PF16,Q9XI07,1
Q8WXW3,Q9UBK9,0
O75901,Q8TEW0,1
Q9P2W1,Q07666,0
Q5T7N2,P62995,1
P42794,Q1EC66,1
O43795,Q9Y3D9,0
Q13163,P52926,1
Q13137,Q9Y2T3,1
Q9HBL7,Q13045,0
O43318,P06753,1
P59224,Q4PSL7,1
P59169,Q8H1D2,1
P92935,P49177,1
O75865,Q9BRX5,1
O14732,Q9ULC4,0
Q9C7D7,Q9FZ96,1
P35268,Q96M11,0
P43286,Q9SQH9,1
P33543,Q8W4S5,1
Q13616,P22061,1
Q14240,Q9Y657,0
Q56Z59,Q9SQH9,1
Q9STM3,P17839,1
P13639,P62913,1
Q14677,Q4G0J3,0
Q9Y4J8,Q13425,1
Q9SHI7,Q9C821,1
P20290,O43795,1
Q969G6,Q6IB77,0
Q8TAD8,P62318,1
Q9H6R6,O95084,0
O75791,P43403,1
Q8NBT2,P68400,0
Q8NHP6,O60341,0
Q7L4P6,P06396,0
Q38822,Q8RYC8,1
C0LGW2,Q9M9S4,1
Q9H7U1,P38936,0
Q94AI7,Q9SIJ0,1
Q6IQ23,Q99747,1
Q1PDV2,Q8VY74,1
Q9Y5X3,O60502,0
Q05519,O14776,1
P08559,O14874,1
P09936,P00390,0
Q02241,Q9H171,1
P51414,Q9SMT4,1
Q9Y3M9,Q14203,0
Q6ZW49,O75533,0
Q8TCG2,P19174,1
O43809,P23497,1
Q86YT6,Q16186,0
Q96DV4,Q13123,0
P61221,P68400,0
P49756,P14373,0
P05091,P49888,0
Q8IUH3,P09874,1
Q9H7L9,Q92769,1
O43663,P62304,1
Q9SGQ0,Q1PDN3,1
P12956,P25098,0
Q9BVP2,P25786,0
Q9H7V2,Q9HB65,0
Q9UKG1,P31751,1
Q92769,O94875,1
Q96EP0,P07910,0
Q8NHP6,O43752,1
Q9SNB8,Q93Y00,1
Q96CS7,Q15345,0
P36957,Q16842,0
O75525,O95059,0
Q9SJN0,Q9ZV51,1
O15212,Q9BXW9,0
P20290,P50402,1
Q8TEW0,Q5T7B8,0
O75031,P60900,0
Q96L93,P17931,1
Q08345,Q96DI7,1
Q9UNP9,Q96SN7,0
P60468,P23508,1
Q92466,P04629,0
Q96EY7,P60903,0
P30291,P14866,0
Q9STX5,Q9SUJ1,1
Q9NX70,Q08426,0
Q969W0,Q15119,0
Q8WXH2,P62913,0
O14775,P23434,0
O95816,Q96G97,0
Q8N5H7,Q9BXL7,1
Q9ULJ7,Q9Y2W2,1
O22173,Q8W5S1,1
P07910,Q9Y2D8,1
P07196,P60033,0
P05023,Q6NUQ1,0
O81313,Q9FUA4,1
P08621,P26368,1
Q8NEY8,Q9NYY3,0
Q42403,Q9FZB1,1
P07948,Q92918,1
A5PKW4,Q12906,0
P06858,P59665,0
O75530,Q96PK6,1
Q96GN5,Q9Y228,1
O43482,Q9ULV5,1
Q9LEZ3,P32068,1
C0LGW2,Q0PW40,1
Q86UL8,Q9H2J7,0
Q8GZ38,Q9LQT8,1
Q43128,Q9SQH9,1
Q9C835,P19456,1
P08559,Q9Y2R5,1
P17480,Q9BQG0,1
Q39102,Q9SEI2,1
P43034,Q5T7V8,0
Q7Z6J6,P27635,0
P62258,Q96KP6,0
Q9Y275,O75530,0
Q15262,O00193,0
Q96E11,O00330,1
Q9LVW2,Q8GY61,1
P15731,Q9LUZ9,1
P50897,Q16531,1
P21860,P42679,1
Q8N5V2,Q8WV28,0
Q9NPI1,P51159,0
Q96EK5,Q8N9F0,0
P06733,Q9BWG6,0
P55072,Q99728,1
Q9Y333,Q9NX58,0
Q8N465,P40926,0
Q96EP5,Q9NTZ6,1
Q6XE24,Q9Y6H1,0
Q09028,Q9BXJ8,0
P10636,Q9HB71,1
Q96EP0,Q9UBN7,1
Q9UKT4,Q9BVS4,1
Q14258,Q9H0J9,1
Q941R4,O80605,1
P43405,O75791,1
O75208,Q9HBD1,0
Q9P1Y5,Q969Z0,0
Q7L5D6,O00291,0
Q6ZN04,Q96BT3,0
P84098,Q9H9L3,1
Q9NP66,Q8TD31,1
Q9Y680,O75127,1
Q9LST3,Q9FH80,1
Q13526,P18615,0
Q12933,Q15311,1
Q93VB8,P42733,1
O14775,Q8TBC4,0
Q12904,Q9P1A2,0
Q5CCK4,O22446,1
Q17R89,Q16637,0
P56181,Q969N2,0
Q676U5,Q9Y2D8,0
Q8W1X2,Q9SZD4,1
Q0WWQ1,Q94CD5,1
Q940B0,Q9FDZ9,1
P02649,P06753,1
O00203,O60566,1
O15169,O14641,1
P14678,Q9UBF6,0
Q8S8P5,P48348,1
Q14232,O75400,1
Q680Q4,P43254,1
Q9BTD8,Q7L2Z9,0
Q96DV4,O43927,0
Q14203,P36406,0
Q8NHP6,P40939,1
Q38859,Q39211,1
Q14258,O94887,1
Q86VP1,P32004,0
Q9FMA3,Q9S850,1
Q9LTB0,Q9LZD3,1
P50570,Q9UK00,0
Q53EZ4,Q16543,1
Q9FVU0,Q9SYG2,1
Q9Y2H0,P12931,0
P40939,P35052,1
Q13325,Q9NPA8,0
Q6XE24,P36542,0
Q9NS91,P51572,0
Q8WXI3,Q9UBF6,1
P52306,O14976,0
P06858,Q9BV40,0
O95900,Q9HD33,1
Q7RU07,O75899,0
O95816,O14818,0
P14678,Q53EZ4,1
O75069,Q9H0E4,0
Q08495,O43261,0
Q0WUA3,Q84VQ1,1
Q969S8,P12956,0
Q9HBD1,Q9GZR2,1
P11574,Q9LDI3,1
Q9BV94,Q9HC16,0
Q13123,P05305,0
Q93ZR1,Q8L8A5,1
Q58WW2,Q8NEY4,0
C0LGW2,Q9C8K2,1
P80098,Q8N138,0
Q38906,Q38906,1
Q969H0,Q9GZS0,0
Q9FUA4,Q9LQT8,1
Q08379,Q9H788,1
Q13616,P14678,1
Q9BTM9,O60256,0
Q13084,P50336,0
P27448,Q9NZ81,0
Q39023,Q9SUP6,1
Q8WV44,P04156,0
P78362,Q9Y295,1
O94953,P11274,0
Q08379,Q96RG2,0
O23145,Q8S307,1
Q9H611,Q96RG2,1
Q9LYU7,Q9SYQ8,1
Q8LPR5,Q39266,1
P09874,O00499,1
P14866,O14508,0
Q14258,Q15831,1
O15287,Q8N6K7,1
O00329,O75558,0
P46668,A1L4W5,1
Q86UY6,P14868,1
O43542,P08621,1
O96017,Q14152,1
Q9NQW6,Q13501,1
Q86V86,P06753,1
Q14203,Q96EK5,1
Q05086,P09496,1
P13569,P0DPB3,0
O00165,P17858,0
P08708,P00558,0
Q39024,Q9SUG3,1
Q9C7D7,C0LGW6,1
Q8N2U0,Q09013,0
Q9UK76,O15211,0
Q9M1R4,O04336,1
Q9FGJ3,A1YKT1,1
Q9ZNV8,O82503,1
Q9Y252,Q8N5R6,1
O24646,Q9SPL2,1
P04629,P49959,1
P35606,Q9UL15,0
Q49A88,Q8N6V9,1
Q8IWW6,P08621,0
P60880,Q9NRC8,0
Q99661,P18206,0
P42338,P47756,0
Q9FI70,Q39255,1
Q9Y421,Q6YP21,0
Q9Y2L1,P57075,0
Q96BT3,O95907,0
Q9GZQ8,O00165,0
P06576,Q12797,1
P08559,Q6P2E9,1
Q9UGJ1,Q9BXY8,0
P62995,P43307,0
P48023,Q9H000,0
P51414,P41127,1
Q13418,P62826,1
O50055,Q8W420,1
Q6I9Y2,O75069,0
P52815,P46199,1
Q13435,Q8N137,0
P37268,Q9H307,0
P14091,P06396,0
Q9SHI7,Q9FNB5,1
Q8N7W2,P49716,0
P51114,Q12906,0
Q9LD95,Q9LQT8,1
P23396,P13994,0
Q9UNP9,Q969Z0,0
Q9C0F1,Q9UHD2,1
P14866,P55010,0
Q9NUT2,Q9H8K7,0
Q9BPX7,Q7L099,0
Q9SNB8,Q6X7K0,1
O00499,P55072,0
Q9SYZ9,F4K4L7,1
Q8N2U0,O60828,0
Q8TB24,P36776,0
Q9Y250,Q96ST3,0
P43405,P10636,1
Q9BZZ5,P62913,1
O94887,Q9BRS2,1
P19256,Q9BVJ7,0
Q9Y421,Q13765,0
Q96RQ1,O43272,0
Q14258,Q9HC07,1
Q53EZ4,P78362,0
O23715,O81149,1
O94763,Q9UER7,0
Q9C835,Q94KE0,1
P49321,O75822,0
Q4G0J3,P60228,0
O14526,Q8IWZ5,1
Q8LPR5,Q5XVH0,1
Q9BT78,P62873,0
Q96MW5,Q75KN0,0
Q8GYJ3,Q9C9M7,1
P11597,Q96SN7,0
Q14137,Q8IZL8,1
Q96ID5,Q52M93,0
Q8TEA7,Q8NHQ1,0
Q9C075,P07196,1
P14678,Q00341,0
Q92870,P19838,1
Q9NQW6,O15155,0
A9X4U2,Q96285,1
Q9NP85,Q9Y5K6,1
Q8NA72,Q9NPJ6,1
Q93015,Q96C92,0
P17174,Q7L099,0
Q9C9L2,Q9SGW8,1
Q9ZTX8,Q8RYC6,1
P51424,Q1EC66,1
P20290,Q9NRC1,0
O24412,Q9SGW3,1
P45434,Q8GXB4,1
Q9H4K1,P31994,0
Q6IQ23,Q9NP31,0
Q9LSB4,Q06611,1
Q8TEJ3,Q9BWF3,0
Q9P0K7,P19838,0
O04567,Q94AG2,1
P37268,Q8IYB7,0
O15355,P04350,0
Q9LT08,Q1EC66,1
Q12849,Q14684,1
Q9SPG9,Q9FIP9,1
P17174,Q9UNZ2,1
Q9NRD0,Q14596,0
O65787,Q9SUI0,1
Q9HCE1,Q13596,1
Q13616,P25786,1
Q9BXR0,P31943,0
P09326,Q16635,0
O22932,Q9LUM4,1
Q05086,P49748,0
O75832,Q13526,0
Q8L4M1,Q38845,1
P23246,O14531,0
Q9NRR5,P49675,0
O82133,P46603,1
Q15118,Q8WW59,1
Q9HD26,Q16513,1
Q96KS9,P51957,0
Q96AW1,O14530,0
Q84MB2,O23421,1
Q13107,P48357,0
P12236,P08238,0
P49418,Q96D71,1
O14907,Q9H5I1,0
Q8LEM7,Q9LYQ8,1
Q6ZNA4,P12757,1
Q9H063,A1L0T0,0
P02545,P29590,1
O95159,P07305,0
P13569,O60341,0
O04034,Q9FFD0,1
P60040,O22254,1
O04487,Q84WM9,1
Q9FVV4,Q1EC66,1
Q8GX29,Q39255,1
Q13616,P62913,1
Q96BK5,O95182,0
Q9BQ04,Q14061,0
P78344,O00541,0
P14866,P13994,0
Q96R06,Q6EMB2,0
P12956,P49821,0
P93830,P42644,1
Q99615,Q9BWH6,1
Q8IX03,P55060,0
O75791,Q9NXF1,0
Q86XS8,Q13158,0
O75689,P61006,0
Q16864,Q9Y3C5,0
Q96DN6,Q9NWR8,0
O60907,Q9NW64,0
Q9NP59,Q9H8G2,0
Q9H3P7,Q9H3U1,1
Q14257,P55854,0
Q08117,Q6FI91,0
O75821,Q03518,0
Q8IZ08,P61077,0
P04843,Q9BT92,0
Q8TAP6,Q9BSK4,0
Q13636,P26447,0
Q15291,Q96S15,1
Q7L190,P62328,0
P43235,Q9NRL3,0
P52597,P11172,1
Q9Y4P3,P50613,0
Q15560,P60953,0
P07948,Q99704,1
Q8ND24,O75665,1
Q9UPN9,Q86VM9,0
P11274,Q9UBC2,0
Q12772,Q6IAA8,0
O14576,Q92878,1
Q42453,O04292,1
Q99959,A1L390,0
Q9SSD1,Q01525,1
O75807,Q8WUB8,0
Q9M1Z5,C0LGI2,1
Q9C5C2,Q9C829,1
Q96BY9,P04792,0
Q96AC6,Q99700,0
Q9M9T4,P93025,1
Q96DN6,P19388,0
Q39237,Q8LAT0,1
Q9UM54,Q6PJG6,0
P19174,Q8ND24,0
Q14695,Q9Y2W2,0
A6NEM1,Q9BWG6,1
Q9FXG8,Q9LQT8,1
O75312,Q15910,0
Q92567,Q8IY63,1
Q15645,Q86XP3,0
Q13243,Q9UII2,0
Q9BYN8,P46199,1
Q39068,Q8LF80,1
O15169,P23246,0
P56470,Q9UBT2,0
P06576,P17600,0
Q96RR1,Q9H0I3,0
Q9Y3U8,Q96DI7,1
Q9NY33,P11172,1
P26641,Q96GM8,0
Q9LZH9,P60039,1
P34897,Q9Y2X7,0
Q9NSV4,Q8WXE1,0
Q9H0E2,P40939,1
Q96MT8,Q14247,0
Q9H773,Q9UD71,0
O15530,Q16594,0
P60228,P83916,0
Q93034,Q8WVB6,0
Q9UGI0,Q9H0E2,1
Q9Y275,Q9UBQ5,1
O75925,Q9H0X6,0
Q9H2G4,P57740,0
Q15181,Q9NVJ2,0
Q9BVG8,Q7L190,0
Q42404,Q84TH4,1
Q94CL9,Q9ZR04,1
O76027,Q99496,0
Q9Y2U9,Q9BTT6,0
Q12849,Q9Y6A5,0
P27448,P12931,0
Q16543,P62316,0
Q03509,P43294,1
P0CZ23,Q1EC66,1
A6NC98,Q63ZY3,1
P10797,Q9M8Y0,1
P04629,Q8WXA9,1
P46108,O60496,1
Q86XR8,Q9H0U9,0
Q13131,P05166,1
O43237,P36405,0
Q9Y4W6,Q13424,0
P36957,Q96KB5,0
Q9HC98,Q9BRK4,1
Q92905,Q99961,1
O00559,Q6WKZ4,1
Q9HCE1,Q96DI7,1
Q9Y234,P29074,0
O15239,Q99719,0
Q9FMC2,A1YKT1,1
P00540,Q8N6Y0,1
P61769,Q5MIZ7,0
Q15714,O60282,0
O00267,Q9HCD5,1
Q42522,Q1EC66,1
Q96DI7,Q96FF9,0
Q9SK22,Q9SZD4,1
P02794,P55774,0
Q9FZJ1,Q67ZM7,1
Q9FVI6,Q9SXZ2,1
Q9M1Z5,Q84TE9,1
Q9ULV5,P20963,0
P03950,Q5SZQ8,0
Q13724,Q9H0A6,0
Q9NQG5,Q8TEA7,0
Q9BYM8,Q86XT2,1
P13569,Q7Z7L1,0
O94874,P46937,0
A5PKW4,Q13636,0
Q0VAF6,Q13490,1
Q14258,Q99614,0
O94762,P60484,0
Q9BXW9,P36957,1
Q86YT6,Q13620,1
Q9FHK4,Q8GYX3,1
Q86Y13,O15315,0
P61758,Q86V81,0
Q99615,Q14677,1
O43572,Q8TDC3,1
Q9C835,Q8L4X4,1
Q9C514,Q9SZD4,1
O43768,Q9GZN7,0
O96019,Q9UBU8,1
Q13618,P53992,1
P09936,Q9BSF8,0
Q6ZU52,Q8NE71,0
Q8NFZ5,Q8WWM7,1
P05060,Q8WVB3,0
Q9SQT9,O82316,1
O43660,Q8IX90,0
Q9FMX2,Q8L925,1
P63272,Q9H2G9,0
Q15029,P26641,1
Q86UP2,O14543,0
Q9NSC5,O60573,1
P04629,Q9H3R5,0
Q9ZU25,Q9LSQ2,1
Q8WVM8,O95989,0
Q05682,Q9NPF4,0
Q6PJT7,P07910,1
Q38822,Q9ZTX9,1
P68400,P49736,1
O75525,P34932,0
Q15560,Q14687,0
Q39262,Q9LQF0,1
Q9H910,Q14919,0
Q4PSK1,O04193,1
Q13163,P13569,0
Q9BSK4,Q4V328,1
Q38829,Q9SRH7,1
Q9GZQ8,Q15046,0
Q8NBJ4,Q8N8V4,0
P62851,Q9NXK8,0
P14866,Q9HCE7,1
Q86YJ6,Q15424,0
P13569,P25705,1
Q92567,Q16630,1
P55060,Q99584,0
Q8GWP0,Q9LIB5,1
Q96HA7,O94972,0
Q9SYQ8,Q9LPT1,1
P20963,Q15287,0
P56945,Q01804,0
P53618,P27815,0
Q9BQA1,Q8N488,0
P38570,P50238,0
Q9H8H0,P06396,0
Q96MF2,P26368,1
Q940A7,Q9SAB3,1
Q9BPX3,Q8TEX9,0
Q9UHD8,Q9P2R3,0
Q9LV17,Q8LPR5,1
Q14232,Q9UQ80,1
Q9FJK3,P93830,1
Q9C835,F4KIB2,1
Q92527,P23246,0
P07910,Q8TC44,0
Q15528,P30519,0
P60033,P62873,1
Q9FME3,F4K5X6,1
Q13418,Q15393,1
Q99590,P40763,1
Q9HCE7,Q07912,1
Q13148,Q13042,1
Q9BTE6,O76064,0
O15239,P24593,0
P00540,P58340,1
P60520,Q96KB5,0
Q9SZG0,Q9ZS88,1
Q39241,Q8LPL2,1
Q9LEQ3,O22588,1
Q9HCU9,Q6UW56,0
P30188,Q9SIN1,1
Q6FI97,Q99547,0
Q9SEE9,O80653,1
P22234,Q8TBK6,0
Q8LPJ4,Q9LM91,1
P0DPB3,P06576,0
Q86XM6,Q92734,0
Q69YU3,Q86V81,0
Q9FHH8,Q9SJ96,1
P35590,Q16543,1
Q7Z2W4,Q9H0U9,0
Q9M8X9,Q9SCM3,1
Q86YT6,Q8N6V9,1
Q8IX90,Q8N684,1
Q9UEU0,P58340,0
Q9Y262,Q96NT1,0
Q15029,Q6WKZ4,0
Q8TC92,P34896,0
Q96QE5,P05408,0
Q9ULZ2,Q9Y230,1
P16104,O15381,0
Q9BXW9,Q92878,1
P61964,Q9P2D0,0
B3H615,Q84M92,1
Q9BXM7,Q8IV63,0
O14576,P23508,1
P17980,P48443,0
Q9UNZ2,P14314,1
Q9LX93,Q946J8,1
Q16659,Q9NVI1,1
Q9FNY0,P24100,1
Q9LVK3,Q0WWQ1,1
Q96EV8,Q96T76,0
P61978,Q9Y3L3,0
Q13825,Q96E11,1
Q9SW07,P92939,1
P23588,O75821,1
P21860,P18615,0
P29692,P49419,0
Q6IAA8,Q99616,0
Q14258,Q8TAT6,1
Q6ZW49,Q9Y383,1
Q94AH6,Q8L5Y6,1
Q9C7D7,Q6DBP3,1
Q96HD1,Q08117,0
Q9NW68,O60828,0
P18124,Q14147,0
Q6UWJ1,P29597,1
Q9LZ57,Q9FF90,1
Q9UBV8,P07737,0
Q9HCU9,Q9P2J2,0
Q08623,O43719,0
Q13322,P11274,1
Q8WVM8,Q14919,0
Q8WXH2,Q13322,1
Q17RY0,P04264,1
Q38951,Q1EC66,1
P34066,Q9LNU4,1
Q84N34,O82390,1
Q99683,Q9UKV3,0
Q9M0L0,Q9M7Q2,1
Q14232,Q96A57,0
Q39255,Q9LRW6,1
O95988,Q15388,0
Q08379,Q12846,0
O15287,Q9Y2D8,1
Q7DLR9,Q9SSB5,1
O64647,P93007,1
Q13501,O76094,1
Q9UBF8,P04843,0
Q42290,Q9LDU5,1
Q9LMY5,Q9C829,1
O49552,Q6NPN9,1
Q6VAB6,O15212,1
Q96EP0,Q9Y297,0
Q5MNZ9,P01909,0
P53497,O81643,1
Q94F58,Q67ZF6,1
Q9NY33,O75131,0
P49840,Q15393,1
Q9C835,Q9FIZ9,1
Q01525,P48348,1
Q9LXD8,Q9C6M5,1
O95295,Q6UWE0,0
Q5HYK7,Q00987,0
Q9FXF2,C0LGJ9,1
Q9SZG0,Q8GXJ4,1
Q9UER7,O15151,1
P43243,Q15051,0
Q9SYY4,Q9LDN1,1
Q9NQW6,Q6UB35,1
P19256,Q9Y4R8,0
Q9SU40,P43286,1
Q96A44,O15013,1
P11362,P53621,1
Q13618,Q9NW13,1
Q5VIR6,Q86US8,0
Q96MW5,P24666,0
O94874,P14373,0
Q9SHP0,Q1EC66,1
Q9UKY1,P53602,0
Q6IBL2,P61952,0
Q7Z7L1,Q86X67,0
O81057,Q9FVS1,1
P21860,Q8N488,0
Q9UJU6,P57081,1
Q9BPX7,Q9P0N5,0
O14777,P60033,0
P56545,O94874,0
P35914,O60828,0
P43307,Q86UP2,1
Q13227,Q9Y6V7,0
P19793,Q9UBS4,0
Q13825,P49590,1
P24534,O14645,0
Q9Y383,P22736,0
Q13501,O14818,0
Q9BVI4,O43772,0
P43243,Q9Y3A4,1
O80340,Q9FYG7,1
Q52LW3,P36776,0
P25789,P28072,1
Q9FLP5,Q42525,1
P68871,P62158,0
O43752,Q96J86,0
Q12962,P05408,0
Q5RL73,Q99417,0
Q4G0J3,Q9Y3D9,1
Q13618,Q7Z2W4,1
Q9BTT4,P25705,0
Q8N1A0,Q99728,0
O95704,Q03393,0
Q86VM9,O95232,1
Q9NUT2,Q9H1I8,0
Q00987,O94874,0
Q16666,Q9UNM6,1
Q8WXH2,Q9Y575,1
Q92769,O14641,0
Q9UPT5,O94906,0
O22456,Q38897,1
P05091,O43147,0
P52732,Q9BVC4,1
O76024,Q96NT1,0
P07948,P49756,0
Q9Y6M1,Q86TB9,1
P60228,P63104,0
Q9NRH1,Q6UXB0,0
P46527,O00193,0
Q39057,O81851,1
